bank,quarter,sentiment_net,n_turns,metric
barclays,2025-annual,0.0,3,total_income
barclays,2025-q1,0.15317577123641968,4,total_income
barclays,2025-q2,0.0,3,total_income
barclays,2025-q3,0.0,2,total_income
barclays,2026-q1,0.34464290738105774,2,total_income
barclays,2026-q2,0.0,3,total_income
hsbc,2025-annual,0.0,7,total_income
hsbc,2025-interim,-0.10928786993026733,5,total_income
hsbc,2025-q1,0.08998054265975952,6,total_income
hsbc,2025-q3,-0.08103080838918686,8,total_income
hsbc,2026-interim,0.0,10,total_income
hsbc,2026-q1,0.0,4,total_income
barclays,2025-annual,0.0,4,operating_costs
barclays,2025-q1,0.0,3,operating_costs
barclays,2025-q2,0.0,1,operating_costs
barclays,2025-q3,0.0,1,operating_costs
barclays,2026-q1,0.0,1,operating_costs
barclays,2026-q2,0.0,2,operating_costs
hsbc,2025-annual,0.0,5,operating_costs
hsbc,2025-interim,-0.11491034924983977,4,operating_costs
hsbc,2025-q1,0.08998054265975952,6,operating_costs
hsbc,2025-q3,-0.6482464671134949,1,operating_costs
hsbc,2026-interim,-0.077829795224326,7,operating_costs
hsbc,2026-q1,0.0,2,operating_costs
barclays,2025-annual,0.0,1,credit_impairment
barclays,2025-q1,0.17493045330047607,4,credit_impairment
barclays,2025-q3,0.0,1,credit_impairment
barclays,2026-q1,0.0,2,credit_impairment
hsbc,2025-annual,0.0,1,credit_impairment
hsbc,2025-interim,-0.11491034924983977,4,credit_impairment
hsbc,2025-q1,0.0,3,credit_impairment
hsbc,2025-q3,-0.16206161677837372,4,credit_impairment
hsbc,2026-interim,-0.1362021416425705,4,credit_impairment
hsbc,2026-q1,0.0,3,credit_impairment
barclays,2025-annual,0.0,5,cet1_ratio
barclays,2025-q1,0.1002906858921051,6,cet1_ratio
barclays,2025-q2,0.0,4,cet1_ratio
barclays,2025-q3,0.0,4,cet1_ratio
barclays,2026-q1,0.22976193825403848,3,cet1_ratio
barclays,2026-q2,0.0,1,cet1_ratio
hsbc,2025-annual,0.0,2,cet1_ratio
hsbc,2025-interim,-0.20121614933013915,5,cet1_ratio
hsbc,2025-q1,0.0,4,cet1_ratio
hsbc,2025-q3,0.0,1,cet1_ratio
hsbc,2026-interim,0.0,6,cet1_ratio
hsbc,2026-q1,0.5072183012962341,1,cet1_ratio
barclays,2025-annual,0.0,8,overall
barclays,2025-q1,0.06017441153526306,10,overall
barclays,2025-q2,0.0,6,overall
barclays,2025-q3,0.0,8,overall
barclays,2026-q1,0.08616072684526443,8,overall
barclays,2026-q2,-0.10720746006284441,7,overall
hsbc,2025-annual,-0.040194034576416016,13,overall
hsbc,2025-interim,-0.12576009333133698,8,overall
hsbc,2025-q1,0.04908029599623247,11,overall
hsbc,2025-q3,-0.05893149701031772,11,overall
hsbc,2026-interim,-0.02867413508264642,19,overall
hsbc,2026-q1,0.056357589032914907,9,overall
