bank,quarter,sentiment_net,calendar_period
barclays,2025-annual,0.0,2025-FY
barclays,2025-q1,0.06017441153526306,2025-H1q1
barclays,2025-q2,0.0,2025-H1
barclays,2025-q3,0.0,2025-Q3
barclays,2026-q1,0.08616072684526443,2026-H1q1
barclays,2026-q2,-0.10720746006284441,2026-H1
hsbc,2025-annual,-0.040194034576416016,2025-FY
hsbc,2025-interim,-0.12576009333133698,2025-H1
hsbc,2025-q1,0.04908029599623247,2025-H1q1
hsbc,2025-q3,-0.05893149701031772,2025-Q3
hsbc,2026-interim,-0.02867413508264642,2026-H1
hsbc,2026-q1,0.056357589032914907,2026-H1q1
