bank,quarter,metric,value,prior,direction,source
barclays,2025-annual,total_income,29140.0,26788.0,up,2025-fy-financial-tables.xlsx
barclays,2025-annual,operating_costs,-17040.0,-16195.0,down,2025-fy-financial-tables.xlsx
barclays,2025-annual,credit_impairment,-2279.0,-1982.0,down,2025-fy-financial-tables.xlsx
barclays,2025-annual,cet1_ratio,0.14300000000000002,0.136,up,2025-fy-financial-tables.xlsx
barclays,2025-interim,total_income,14896.0,13277.0,up,2025-h1-financial-tables.xlsx
barclays,2025-interim,operating_costs,-8407.0,-7997.0,down,2025-h1-financial-tables.xlsx
barclays,2025-interim,credit_impairment,-1112.0,-897.0,down,2025-h1-financial-tables.xlsx
barclays,2025-interim,cet1_ratio,0.14,0.136,up,2025-h1-financial-tables.xlsx
barclays,2025-q1,total_income,7709.0,6953.0,up,2025-q1-financial-tables.xlsx
barclays,2025-q1,operating_costs,-4258.0,-3998.0,down,2025-q1-financial-tables.xlsx
barclays,2025-q1,credit_impairment,-643.0,-513.0,down,2025-q1-financial-tables.xlsx
barclays,2025-q1,cet1_ratio,0.139,0.136,up,2025-q1-financial-tables.xlsx
barclays,2025-q3,total_income,22063.0,19824.0,up,2025-q3-financial-tables.xlsx
barclays,2025-q3,operating_costs,-12661.0,-11951.0,down,2025-q3-financial-tables.xlsx
barclays,2025-q3,credit_impairment,-1744.0,-1271.0,down,2025-q3-financial-tables.xlsx
barclays,2025-q3,cet1_ratio,0.141,0.136,up,2025-q3-financial-tables.xlsx
barclays,2026-q1,total_income,8163.0,7709.0,up,2026-q1-financial-tables.xlsx
barclays,2026-q1,operating_costs,-4359.0,-4258.0,down,2026-q1-financial-tables.xlsx
barclays,2026-q1,credit_impairment,-823.0,-643.0,down,2026-q1-financial-tables.xlsx
barclays,2026-q1,cet1_ratio,0.141,0.143,down,2026-q1-financial-tables.xlsx
barclays,2026-q2,total_income,16501.0,14896.0,up,2026-q2-financial-tables.xlsx
barclays,2026-q2,operating_costs,-8873.0,-8407.0,down,2026-q2-financial-tables.xlsx
barclays,2026-q2,credit_impairment,-1394.0,-1112.0,down,2026-q2-financial-tables.xlsx
barclays,2026-q2,cet1_ratio,0.14300000000000002,14.3,flat,2026-q2-financial-tables.xlsx
hsbc,2025-q1,total_income,17649.0,11564.0,up,2025-1q-data-pack.xlsx
hsbc,2025-q1,credit_impairment,-876.0,-1362.0,up,2025-1q-data-pack.xlsx
hsbc,2025-q1,operating_costs,-8102.0,-8604.0,up,2025-1q-data-pack.xlsx
hsbc,2025-q1,cet1_ratio,0.147,0.149,down,2025-1q-data-pack.xlsx
hsbc,2025-q2,total_income,16473.0,17649.0,down,2025-2q-data-pack.xlsx
hsbc,2025-q2,credit_impairment,-1065.0,-876.0,down,2025-2q-data-pack.xlsx
hsbc,2025-q2,operating_costs,-8920.0,-8102.0,down,2025-2q-data-pack.xlsx
hsbc,2025-q2,cet1_ratio,0.146,0.147,flat,2025-2q-data-pack.xlsx
hsbc,2025-q3,total_income,17788.0,16473.0,up,2025-3q-data-pack.xlsx
hsbc,2025-q3,credit_impairment,-1008.0,-1065.0,up,2025-3q-data-pack.xlsx
hsbc,2025-q3,operating_costs,-10076.0,-8920.0,down,2025-3q-data-pack.xlsx
hsbc,2025-q3,cet1_ratio,0.145,0.146,flat,2025-3q-data-pack.xlsx
hsbc,2025-q4,total_income,16364.0,17788.0,down,2025-4q-data-pack.xlsx
hsbc,2025-q4,credit_impairment,-901.0,-1008.0,up,2025-4q-data-pack.xlsx
hsbc,2025-q4,operating_costs,-9330.0,-10076.0,up,2025-4q-data-pack.xlsx
hsbc,2025-q4,cet1_ratio,0.149,0.145,up,2025-4q-data-pack.xlsx
hsbc,2026-q1,total_income,18624.0,16364.0,up,2026-1q-data-pack.xlsx
hsbc,2026-q1,credit_impairment,-1301.0,-901.0,down,2026-1q-data-pack.xlsx
hsbc,2026-q1,operating_costs,-8721.0,-9330.0,up,2026-1q-data-pack.xlsx
hsbc,2026-q1,cet1_ratio,0.14,0.149,down,2026-1q-data-pack.xlsx
hsbc,2026-q2,total_income,19118.0,18624.0,up,2026-2q-data-pack.xlsx
hsbc,2026-q2,credit_impairment,-1052.0,-1301.0,up,2026-2q-data-pack.xlsx
hsbc,2026-q2,operating_costs,-8705.0,-8721.0,flat,2026-2q-data-pack.xlsx
hsbc,2026-q2,cet1_ratio,0.141,0.14,flat,2026-2q-data-pack.xlsx
