bank,quarter,speaker,firm,topic,text,clean_text,finbert_sentiment,finbert_score,ldsa_sentiment,ldsa_net,gold_label,label_method,human_reviewed,ft_sentiment,ft_score
barclays,2025-annual,Kian Abouhossein,JP Morgan,0,"Two questions. The �rst question is on the capital return of over £15 billion. If you could just put
this in context of capacity to support investment and growth. How should we think about this
capacity that you're outlining? It looks like there's quite a bit of bufer. So we would like to
understand that.
And then secondly, you're one of the few CEOs who actually discusses ledgers and middle o�ce
integration, which is not a hot topic. But trying to understand a little bit the investment phase,
which has stepped up in 2026 signi�cantly and you're going from £1.1 billion to £2.3 billion of
investments. Just what the focus is and how should we think about post 2028 basically in that
respect?
C.S. Venkatakrishnan
Anna, do you want to start on the capital and then we can come back to the other one?",two questions question capital return billion could put context capacity support investment growth think capacity outlining looks like quite bit bufer would like understand secondly one ceos actually discusses ledgers middle integration hot topic trying understand little bit investment phase stepped going billion billion investments focus think post basically respect venkatakrishnan anna want start capital come back one,neutral,0.920157253742218,neutral,0.0068493150684931,neutral,finbert_ldsa_agree,True,positive,0.47756245732307434
barclays,2025-annual,Guy Stebbings,BNP Paribas,0,"The �rst question was on capital in terms of targets. You got the 13% to 14% target. I think you've
talked sort of running at the top end of that range throughout this plan and given this is the plan
now to 2028, post Pillar 2A changes, given the constructive tone from the regulator. I'm just
wondering what do we need to see to sort of potentially move lower down in that range as sort of
a formal way you're running from the business? Is it just getting that Pillar 2A change from the
regulator? And [I assume] you [have] got pretty good visibility as to what you're expecting there.
So, if things do land as you expect, maybe you could help sort of frame that and we can think about
what that means for capital return and RoTE targets?
And then he second question was on the mortgage book in the UK. You referred to the headwind
in the �rst half of this year. Can I just check in terms of the de�nition of that headwind? Is that sort
of a gross headwind? Because I'm mindful that with Kensington and the sort of �ow of the book,
you might be able to ofset some of that as you have some higher LTV, higher margin business
coming through. So, can you kind of frame the de�nition of that headwind? Thank you.
Anna Cross
On the �rst one, if you go back to the beginning of 2025, what we said was that because we were
carrying more Pillar 2 in advance of IRB implementation, you should expect us to operate at the
top of the range or towards the top of the range.
That's still what we're saying. It's no diferent to that. And I do expect there to be some pillar 2A
ofset when we get through Basel 3.1 and IRB. I just don't know what they are right now. What we
are trying to do in every single part of this plan is put it in our control. We want our distribution
plan to be underpinned by the things that we're doing and that it can't be put of course by the
timing of regulatory change or the certainty of that change.
That's all we're saying here. So, for us, in the short term, our planning assumption throughout this
plan, is that we will be at the top end of the range. Obviously, you should re�ect that in the way
you think about our distributions, you should re�ect that in the way that you calculate our RoTE.
But once we get beyond that implementation and we have that clarity, we will, of course, review
where we think we should be within that range. We still think that the 13% to 14% range is the
right range for Barclays. But at this point in time, we just don't have the regulatory clarity and we
want this plan in our control. So that's the reason for it.
And on mortgages, I'm speci�cally talking about a gross impact and it relates to the mortgages
that were written at the very end of 2020 and beginning of 2021. As you remember, as we were all
coming out of COVID, there was that stamp duty holiday in the mortgage market was very
substantial.",question capital terms targets got target think talked sort running top end range throughout plan given plan post pillar changes given constructive tone regulator wondering need see sort potentially move lower range sort formal way running business getting pillar change regulator assume got pretty good visibility expecting things land expect maybe could help sort frame think means capital return rote targets second question mortgage book uk referred headwind half year check terms headwind sort gross headwind mindful kensington sort book might able ofset higher ltv higher margin business coming kind frame headwind thank anna cross one go back beginning said carrying pillar advance irb implementation expect us operate top range towards top range still saying diferent expect pillar ofset get basel irb know right trying every single part plan put control want distribution plan underpinned things ca put course timing regulatory change certainty change saying us short term planning assumption throughout plan top end range obviously way think distributions way calculate rote get beyond implementation clarity course review think within range still think range right range barclays point time regulatory clarity want plan control reason mortgages talking gross impact relates mortgages written end beginning remember coming covid stamp duty holiday mortgage market substantial,neutral,0.8905289173126221,neutral,-0.0071428571428571,neutral,finbert_ldsa_agree,False,neutral,0.4782772362232208
barclays,2025-annual,Ben Toms,RBC,0,"First one is on Private Banking Wealth Management. What products are you currently missing
from your Premier Banking proposition? And how easy is it for you to build those yourself?
And then secondly, can you continue on the UK loan book? UK retail banks continue to surprise to
the upside on loan book growth relative to GDP. I think your guidance is for 5% loan growth CAGR
out 2028. What's driving the growth in excess of GDP? And what's your outlook for volumes in the
mortgage market for the next couple of years? Thank you.
C.S. Venkatakrishnan
Let me start on both. We've got a pretty big and complete product suite. There are a couple of
gaps in the product suite that are missing, SIPs and Junior ISAs that are coming online. But if you
put yourself at a higher level looking at it, starting at the self-directed end of the spectrum, what
we've got is Direct Investment, what we used to call Smart Investor, which is you're basically do-
it-yourself investment buying stocks, bonds.
",first one private banking wealth management products currently missing premier banking proposition easy build secondly continue uk loan book uk retail banks continue surprise upside loan book growth relative gdp think guidance loan growth cagr driving growth excess gdp outlook volumes mortgage market next couple years thank venkatakrishnan let start got pretty big complete product suite couple gaps product suite missing sips junior isas coming online put higher level looking starting end spectrum got direct investment used call smart investor basically investment buying stocks bonds,neutral,0.9090924859046936,positive,0.0220994475138121,positive,keyword_override,False,positive,0.5078794360160828
barclays,2025-annual,Andrew Coombs,Citi,-1,"So on the Investment Bank, if I look at your 2026 targets, previously you had a greater than 12%
target. It's now circa 12%, a high-50s cost income ratio is now circa 60%. I'm assuming the change
is primarily due to FX, but perhaps you could �rstly con�rm?
Secondly, when I go back two years and think of the original plan, a lot of the revenue growth was
assumed to come from market share gains and you actually assumed a fairly �at wallet. Actually,
what's materialised is a much better wallet than you expected, but �at market share. So perhaps
you could also just talk to competitive dynamics and how that's played out versus what you
thought two years ago and how that then fed through to your 2028 assumptions as well.",investment bank look targets previously greater target circa cost income ratio circa assuming change primarily due fx perhaps could secondly go back two years think original plan lot revenue growth assumed come market share gains actually assumed fairly wallet actually materialised much better wallet expected market share perhaps could also talk competitive dynamics played versus thought two years ago fed assumptions well,neutral,0.7917094230651855,neutral,0.0075187969924812,neutral,finbert_ldsa_agree,False,positive,0.5115633606910706
barclays,2025-annual,Perlie Mong,Bank of America,0,"Thinking about the income guidance at the Group level, so it's greater than 5% CAGR. Within that,
obviously, Investment Bank is probably below, and the [US] Consumer Bank is above. And with the
UK part also growing volumes and greater than 5%. I'm just trying to think about what does it
imply about margins. So in terms of product margin, that is, would you expect more of that
income growth coming from the volume side? Are we basically past the point where deposit
margin is growing very substantially because of the hedge? And obviously, 2026 will probably be
a bit higher because of more of the hedges coming through in 2026. So, in 2027 and 2028, how
should we think about the margin piece? And that's number one.
And number two, so it sounds like Investment Bank RWAs is going to stay relatively �at because
you still expect that to come down to about 50% of the Group by 2028. So roughly speaking, it's
not much more to the Investment Bank and the cost guidance at a Group level only modestly
growing from now to 2028. That suggests [the] Investment Bank not getting very much cost
either. So, I'm just trying to think about why you've decided to do that in the context that obviously,
the Investment Bank probably is one of the businesses that has performed above expectations
in the last cycle. And increasingly there are questions about with the US peers investing more and
putting more capital behind Investment Bank, why would you choose not to do so?
Anna Cross
So how do we think about product margin in the UK is I think your question. So, look, there's a bit
more to go here and you can see that from the, can we go to the structural hedge slide, please?
Thank you. (slide 64).
We are assuming that we are going to be reinvesting the structural hedge at 3.5%. The maturing
yield over the next three years is materially below that. So, 1.5%, 2.1%, 2.7%. So, you're going to
have a considerable hedge tailwind across at least this plan, probably beyond. And everything that
we've done around the tenure of the hedge and extending it from 3% to 3.5% is only going to
increase that momentum for longer. So that remains there as a, if you like an underpin for product
margins.
",thinking income guidance group level greater cagr within obviously investment bank probably us consumer bank uk part also growing volumes greater trying think imply margins terms product margin would expect income growth coming volume side basically past point deposit margin growing substantially hedge obviously probably bit higher hedges coming think margin piece number one number two sounds like investment bank rwas going stay relatively still expect come group roughly speaking much investment bank cost guidance group level modestly growing suggests investment bank getting much cost either trying think decided context obviously investment bank probably one businesses performed expectations last cycle increasingly questions us peers investing putting capital behind investment bank would choose anna cross think product margin uk think question look bit go see go structural hedge slide please thank slide assuming going reinvesting structural hedge maturing yield next three years materially going considerable hedge tailwind across least plan probably beyond everything done around tenure hedge extending going increase momentum longer remains like underpin product margins,neutral,0.8209481239318848,neutral,0.0077319587628865,neutral,finbert_ldsa_agree,True,neutral,0.46348056197166443
barclays,2025-annual,Chris Hallam,Goldman Sachs,0,"Just a question on the Investment Bank to begin with. Are you able to give any colour on perhaps
how much leverage exposure is tied up in the Investment Bank? I know we talk about RWAs, but
as we shift towards the growth, you're seeing in the Financing businesses, how relevant that
metric is?
And when you talk about �at market share in Global Markets, is that a conservative assumption
or not given, I guess the deregulation story we're seeing building in the US and also the ambitions
one of your European peers has in FICC, speci�cally in the United States?
And then the second question is more broadly on AI. I think or I assume behind the scenes going
through all the planning, you've looked at a lot of the opportunity set in that area. It feels as
though more generally, there's a narrative that the technologies are becoming more impactful,
but perhaps the speed at which you can get them into the enterprise is taking longer than people
had expected and maybe at a slightly higher cost.
Is that a fair narrative or one that you would agree with when you think about the work you've
done behind the scenes on this topic?
Anna Cross",question investment bank begin able give colour perhaps much leverage exposure tied investment bank know talk rwas shift towards growth seeing financing businesses relevant metric talk market share global markets conservative assumption given guess deregulation story seeing building us also ambitions one european peers ficc united states second question broadly ai think assume behind scenes going planning looked lot opportunity set area feels though generally narrative technologies becoming impactful perhaps speed get enterprise taking longer people expected maybe slightly higher cost fair narrative one would agree think work done behind scenes topic anna cross,neutral,0.8966519832611084,neutral,0.0046948356807511,neutral,finbert_ldsa_agree,False,positive,0.5147222280502319
barclays,2025-annual,Jonathan Pierce,Jeferies,0,"If I can take it up a level, if that's okay, got a couple of questions. I'm really trying to triangulate the
capital generation targets on slide 71 and with the RoTE and the distribution expectations. I mean,
greater than 230 basis points on circa £400 billion of RWA is obviously getting you to an
attributable pro�t number of over £9 billion.
So putting to one side, that's quite a bit ahead of consensus, even if we assume 3% RWA growth,
which if the Investment Bank is pretty �at is quite a lot. That's only going to take us down to about
£8 billion of free capital generation, which is obviously huge in the context of the £15 billion plus
over the three years.
So can I just �rstly ask do you recognise those numbers, are these distributions going to be really
quite back-end loaded such that when you are stood here in two years' time, the next three years
of distributions are going to be markedly above the greater than £15 billion that you've talked
about today.
Secondly, connected, the RoTE on that 230 basis points plus, if we use consensus TNAV would be
closer to 15%, maybe a little above 15%. I just wonder if you can talk to TNAV growth over the
next few years would be great if you can reference consensus, but maybe some of the things that
are harder for us to model like the own credit unwind, the pension surplus, maybe even the cash
�ow hedge reserve moves to a positive. How should we be thinking about TNAV two or three
years forward, please, particularly versus consensus. Thank you.
Anna Cross
Thanks, Jonathan. I guess both of those are for me. So let me just start with capital. So, I'm not
going to comment on your maths, Jonathan. Where I agree with you is that the organisation is
generating a lot of capital and we expect that to continue. So when we give you a distribution
target of greater than £15 billion, I would concentrate on two things within that slide.
One is the greater than sign. And the second is this point that we are making that beyond the
investment that we've got in the plan, so beyond the doubling of investment and beyond the level
of distributions, there is an element of capital creation here that we are holding for additional
investment if we think that is the right thing to do.
Now if we don't, then we will, of course, return that to shareholders. That's what our capital
hierarchy says. It says, �rst, be well-capitalised, then deliver it to shareholders, then invest it to
meaningfully improve the returns of the Group. So that capital hierarchy remains. We have no
desire to hold on to excess levels of capital. Your thought process is as ours is, but as I say, I will
leave the maths to you.",take level okay got couple questions really trying triangulate capital generation targets slide rote distribution expectations mean greater basis points circa billion rwa obviously getting attributable number billion putting one side quite bit ahead consensus even assume rwa growth investment bank pretty quite lot going take us billion free capital generation obviously huge context billion plus three years ask recognise numbers distributions going really quite loaded stood two years time next three years distributions going markedly greater billion talked today secondly connected rote basis points plus use consensus tnav would closer maybe little wonder talk tnav growth next years would great reference consensus maybe things harder us model like credit unwind pension surplus maybe even cash hedge reserve moves positive thinking tnav two three years forward please particularly versus consensus thank anna cross thanks jonathan guess let start capital going comment maths jonathan agree organisation generating lot capital expect continue give distribution target greater billion would concentrate two things within slide one greater sign second point making beyond investment got plan beyond doubling investment beyond level distributions element capital creation holding additional investment think right thing course return shareholders capital hierarchy says says deliver shareholders invest meaningfully improve returns group capital hierarchy remains desire hold excess levels capital thought process say leave maths,neutral,0.8578948378562927,neutral,0.0061728395061728,neutral,finbert_ldsa_agree,False,positive,0.47215479612350464
barclays,2025-annual,Amit Goel,Mediobanca,0,"Looking at BUK pro�tability targets. So, 2028, greater than 20% RoTE, similar to 2026, greater
than 20% RoTE, despite a mid 40s cost income ratio and versus the low 50s further progression
in terms of the income from the hedge. And I mean, I guess just wondering why isn't that number
say greater than 25% RoTE or higher or you don't want to show a number like that?
So just curious on that, that's the �rst question. And the second, just on the Investment Bank fees,
again, this comes back to the market share point. So, I understand the �at wallet assumption
going into 2028. But again, when I look at the trajectory, I think last time we were thinking that
there had been investment in 2023 and so forth, which should drive market share gains
We saw gains into 2024. I think we went from about 3% to 3.3% in 2024, but that's come back
down now to around 3% again. So just wondering what's going to create the reacceleration back
to the 3.5% and what gives the conviction on that piece? Thank you.
Anna Cross
So, a couple of things just to call out, Amit, just to help you. Firstly, again, I'm going to lean on the
greater than. And the second thing is that although this is not true for the Group, for Barclays UK,
it is true. We are expecting some impairment normalisation within that business. As we said, it's
been running relatively low because we've been recalibrating these impairment models that are
consistently over predicting impairment in the UK. So, we've been running pretty low in BUK. We
do expect that to normalise up to around 30 basis points.
That's not true of the Group. The Group is running in totality where I expect it to be. So that's not
�attering the Group, but I think it is �attering Barclays UK right now. So, if you take that plus just
lean on the greater than number then. That should hopefully explain. Venkat?
C.S. Venkatakrishnan",looking buk targets greater rote similar greater rote despite mid cost income ratio versus low progression terms income hedge mean guess wondering number say greater rote higher want show number like curious question second investment bank fees comes back market share point understand wallet assumption going look trajectory think last time thinking investment forth drive market share gains saw gains think went come back around wondering going create reacceleration back gives conviction piece thank anna cross couple things call amit help firstly going lean greater second thing although true group barclays uk true expecting impairment normalisation within business said running relatively low recalibrating impairment models consistently predicting impairment uk running pretty low buk expect normalise around basis points true group group running totality expect group think barclays uk right take plus lean greater number hopefully explain venkat venkatakrishnan,neutral,0.85235995054245,neutral,-0.0088757396449704,neutral,finbert_ldsa_agree,False,neutral,0.4693109095096588
barclays,2025-q1,Guy Stebbings,BNP Paribas Exane,0,"Hi, good morning, everyone. Thanks for taking the questions and a good set of results today. I
do want to focus on the area, which, as you rightly said, gets quite a lot of attention, which is the
US consumer. And thanks for the extra disclosure. I was just hoping you could help us think
about the book and the strategy as we look forward.
So firstly, on the impairment charge, and I guess for the quarter, £399 million, the actual write-
ofs themselves were flattish and sort of in line with the last four quarters. You've taken the
[Post-model Adjustment], and increased the coverage, so could you talk to the drivers of the
increase in the reserve build that goes above and beyond the PMA this quarter perhaps?",hi good morning everyone thanks taking questions good set results today want focus area rightly said gets quite lot attention us consumer thanks extra disclosure hoping could help us think book strategy look forward firstly impairment charge guess quarter million actual ofs flattish sort line last four quarters taken adjustment increased coverage could talk drivers increase reserve build goes beyond pma quarter perhaps,positive,0.6997218132019043,neutral,0.0,positive,finbert_confident,False,positive,0.5785495638847351
barclays,2025-q1,Chris Cant,Autonomous,0,"Good morning. Thank you for taking my questions. I had two, please. First on [Risk Weighted
Assets], how should we think about RWA developments into Q2, specifically thinking about
market risk here given the volatility? Obviously, Q1 was a somewhat unusual quarter where
[Investment Bank] RWAs were down on a constant FX basis, didn't seem to demonstrate the
usual seasonality. So any color you could give us on how to think about quarter-on-quarter RWA
developments into Q2 for the IB would be helpful, please.
And as I think out to your targets, the 2026 targets that you've given us previously, and the circa
£50 billion of RWA growth you expected by the end of 2026. Obviously, Basel 3 has been
delayed, [US cards Internal Ratings Based] transition, I guess is probably going to be a '27 event. I
know you said it's sort of ambiguous, but that's not necessarily going to hit you. And with the
weaker dollar, I guess that's also going to reduce the sort of RWA growth. How should we be
thinking now about where you expect to land in 2026 for Group RWAs relative to that previous
£50 billion growth expectation?
And I also just wanted to ask one on the US. So thank you again for reconfirming the FX splits for
Group and IB income and costs. I think that's helpful for us in thinking about the weaker dollar.
But in the event that the US administration applied some Section 899 taxes to UK companies,
for instance due to digital service tax proposals, how would we be best thinking about the
possible impact of that for Barclays? Would it simply be a case of taking the country-by-country
disclosures you give us and multiplying that percentage of PBT by the relevant incremental tax
top-up or is there something more nuanced we need to do in terms of subsidiary financials and
that sort of thing? Thank you.
Anna Cross
Thank you, Chris. I think there were at least three questions there, so I will attempt to deal with
them in order. So on the IB RWAs, we remain fairly clear that the business should operate within
the circa £200 billion of RWAs that we've allocated to it. And you can see us doing that very, very
consistently actually since '23. So we were doing it for some time before we even did the
Investor Update. This period is no diferent really. And you can see that nimbleness in RWA
deployment in the first-quarter. So, if you look in the disclosures, you'll see that credit risk RWAs
are down, market risk RWAs are up and counterparty credit risk RWAs are up. So, our intention is
to manage it nimbly within the framework that we have given them.",good morning thank taking questions two please first risk weighted assets think rwa developments q specifically thinking market risk given volatility obviously q somewhat unusual quarter investment bank rwas constant fx basis seem demonstrate usual seasonality color could give us think rwa developments q ib would helpful please think targets targets given us previously circa billion rwa growth expected end obviously basel delayed us cards internal ratings based transition guess probably going event know said sort ambiguous necessarily going hit weaker dollar guess also going reduce sort rwa growth thinking expect land group rwas relative previous billion growth expectation also wanted ask one us thank reconfirming fx splits group ib income costs think helpful us thinking weaker dollar event us administration applied section taxes uk companies instance due digital service tax proposals would best thinking possible impact barclays would simply case taking disclosures give us multiplying percentage pbt relevant incremental tax something nuanced need terms subsidiary financials sort thing thank anna cross thank chris think least three questions attempt deal order ib rwas remain fairly clear business operate within circa billion rwas allocated see us consistently actually since time even investor update period diferent really see nimbleness rwa deployment look disclosures see credit risk rwas market risk rwas counterparty credit risk rwas intention manage nimbly within framework given,neutral,0.8651788234710693,neutral,-0.0086393088552915,neutral,finbert_ldsa_agree,False,neutral,0.507565438747406
