bank,quarter,topic,finbert_net,n
barclays,2025-annual,-1,0.0,1
barclays,2025-annual,0,0.0,7
barclays,2025-q1,-1,-0.23689359426498413,3
barclays,2025-q1,0,0.18748927116394043,7
barclays,2025-q2,-1,0.0,3
barclays,2025-q2,0,0.0,3
barclays,2025-q3,-1,0.0,2
barclays,2025-q3,0,0.0,5
barclays,2025-q3,1,0.0,1
barclays,2026-q1,0,0.11488096912701924,6
barclays,2026-q1,1,0.0,1
barclays,2026-q1,2,0.0,1
barclays,2026-q2,-1,0.0,3
barclays,2026-q2,0,-0.25015074014663696,3
barclays,2026-q2,1,0.0,1
hsbc,2025-annual,-1,0.0,1
hsbc,2025-annual,0,0.0,5
hsbc,2025-annual,1,0.0,3
hsbc,2025-annual,2,-0.13063061237335205,4
hsbc,2025-interim,0,0.0,2
hsbc,2025-interim,1,-0.20121614933013915,5
hsbc,2025-interim,2,0.0,1
hsbc,2025-q1,-1,0.0,1
hsbc,2025-q1,0,0.17996108531951904,3
hsbc,2025-q1,1,0.0,7
hsbc,2025-q3,-1,-0.12964929342269899,5
hsbc,2025-q3,0,0.0,3
hsbc,2025-q3,1,0.0,1
hsbc,2025-q3,2,0.0,2
hsbc,2026-interim,-1,0.0,3
hsbc,2026-interim,0,0.0,6
hsbc,2026-interim,1,-0.077829795224326,7
hsbc,2026-interim,2,0.0,3
hsbc,2026-q1,-1,0.16907276709874472,3
hsbc,2026-q1,0,0.0,1
hsbc,2026-q1,1,0.0,4
hsbc,2026-q1,2,0.0,1
