bank,quarter,sentiment_net,n_turns,metric,direction,narrative_direction,agrees
barclays,2025-annual,0.0,3,total_income,up,flat,False
barclays,2025-q1,0.15317577123641968,4,total_income,up,up,True
barclays,2025-q3,0.0,2,total_income,up,flat,False
barclays,2026-q1,0.34464290738105774,2,total_income,up,up,True
barclays,2026-q2,0.0,3,total_income,up,flat,False
hsbc,2025-q1,0.08998054265975952,6,total_income,up,up,True
hsbc,2025-q3,-0.08103080838918686,8,total_income,up,down,False
hsbc,2026-q1,0.0,4,total_income,up,flat,False
barclays,2025-annual,0.0,4,operating_costs,down,flat,False
barclays,2025-q1,0.0,3,operating_costs,down,flat,False
barclays,2025-q3,0.0,1,operating_costs,down,flat,False
barclays,2026-q1,0.0,1,operating_costs,down,flat,False
barclays,2026-q2,0.0,2,operating_costs,down,flat,False
hsbc,2025-q1,0.08998054265975952,6,operating_costs,up,up,True
hsbc,2025-q3,-0.6482464671134949,1,operating_costs,down,down,True
hsbc,2026-q1,0.0,2,operating_costs,up,flat,False
barclays,2025-annual,0.0,1,credit_impairment,down,flat,False
barclays,2025-q1,0.17493045330047607,4,credit_impairment,down,up,False
barclays,2025-q3,0.0,1,credit_impairment,down,flat,False
barclays,2026-q1,0.0,2,credit_impairment,down,flat,False
hsbc,2025-q1,0.0,3,credit_impairment,up,flat,False
hsbc,2025-q3,-0.16206161677837372,4,credit_impairment,up,down,False
hsbc,2026-q1,0.0,3,credit_impairment,down,flat,False
barclays,2025-annual,0.0,5,cet1_ratio,up,flat,False
barclays,2025-q1,0.1002906858921051,6,cet1_ratio,up,up,True
barclays,2025-q3,0.0,4,cet1_ratio,up,flat,False
barclays,2026-q1,0.22976193825403848,3,cet1_ratio,down,up,False
barclays,2026-q2,0.0,1,cet1_ratio,flat,flat,True
hsbc,2025-q1,0.0,4,cet1_ratio,down,flat,False
hsbc,2025-q3,0.0,1,cet1_ratio,flat,flat,True
hsbc,2026-q1,0.5072183012962341,1,cet1_ratio,down,up,False
