pair_id,bank,quarter,prudential8_q,prudential8_a,seed_topic_q,coder1_category,coder2_category,disagreement
barclays_2024-annual_001,barclays,2024-annual,untagged,profitability_earnings,untagged,untagged,profitability_earnings,1
barclays_2024-annual_002,barclays,2024-annual,liquidity_funding,profitability_earnings,capital,liquidity_funding,profitability_earnings,1
barclays_2024-annual_003,barclays,2024-annual,profitability_earnings,profitability_earnings,efficiency,profitability_earnings,profitability_earnings,0
barclays_2024-annual_004,barclays,2024-annual,profitability_earnings,market_traded_risk,untagged,profitability_earnings,market_traded_risk,1
barclays_2024-annual_005,barclays,2024-annual,profitability_earnings,untagged,capital,profitability_earnings,capital_adequacy,1
barclays_2024-annual_006,barclays,2024-annual,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
barclays_2024-annual_007,barclays,2024-annual,business_model_strategy,profitability_earnings,capital,business_model_strategy,profitability_earnings,1
barclays_2024-q1_001,barclays,2024-q1,profitability_earnings,market_traded_risk,profitability,profitability_earnings,market_traded_risk,1
barclays_2024-q1_002,barclays,2024-q1,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
barclays_2024-q1_003,barclays,2024-q1,capital_adequacy,capital_adequacy,capital,capital_adequacy,capital_adequacy,0
barclays_2024-q1_004,barclays,2024-q1,profitability_earnings,profitability_earnings,profitability,profitability_earnings,profitability_earnings,0
barclays_2024-q2_001,barclays,2024-q2,operational_efficiency,profitability_earnings,efficiency,operational_efficiency,profitability_earnings,1
barclays_2024-q2_002,barclays,2024-q2,business_model_strategy,profitability_earnings,capital,business_model_strategy,profitability_earnings,1
barclays_2024-q2_003,barclays,2024-q2,untagged,untagged,untagged,untagged,,1
barclays_2024-q2_004,barclays,2024-q2,capital_adequacy,business_model_strategy,capital,capital_adequacy,business_model_strategy,1
barclays_2024-q2_005,barclays,2024-q2,asset_quality_credit,profitability_earnings,untagged,asset_quality_credit,profitability_earnings,1
barclays_2024-q2_006,barclays,2024-q2,untagged,profitability_earnings,untagged,untagged,profitability_earnings,1
barclays_2024-q2_007,barclays,2024-q2,profitability_earnings,capital_adequacy,mixed,profitability_earnings,capital_adequacy,1
barclays_2024-q3_001,barclays,2024-q3,profitability_earnings,market_traded_risk,mixed,profitability_earnings,market_traded_risk,1
barclays_2024-q3_002,barclays,2024-q3,profitability_earnings,untagged,efficiency,profitability_earnings,operational_efficiency,1
barclays_2024-q3_003,barclays,2024-q3,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
barclays_2024-q3_004,barclays,2024-q3,market_traded_risk,profitability_earnings,capital,market_traded_risk,profitability_earnings,1
barclays_2024-q3_005,barclays,2024-q3,profitability_earnings,untagged,mixed,profitability_earnings,,1
barclays_2024-q3_006,barclays,2024-q3,profitability_earnings,profitability_earnings,untagged,profitability_earnings,profitability_earnings,0
barclays_2024-q3_007,barclays,2024-q3,profitability_earnings,market_traded_risk,untagged,profitability_earnings,market_traded_risk,1
barclays_2024-q3_008,barclays,2024-q3,profitability_earnings,profitability_earnings,profitability,profitability_earnings,profitability_earnings,0
barclays_2024-q3_009,barclays,2024-q3,market_traded_risk,profitability_earnings,untagged,market_traded_risk,profitability_earnings,1
barclays_2024-q3_010,barclays,2024-q3,capital_adequacy,business_model_strategy,capital,capital_adequacy,business_model_strategy,1
barclays_2025-annual_001,barclays,2025-annual,capital_adequacy,capital_adequacy,capital,capital_adequacy,capital_adequacy,0
barclays_2025-annual_002,barclays,2025-annual,profitability_earnings,profitability_earnings,capital,profitability_earnings,profitability_earnings,0
barclays_2025-annual_003,barclays,2025-annual,business_model_strategy,market_traded_risk,untagged,business_model_strategy,market_traded_risk,1
barclays_2025-annual_004,barclays,2025-annual,profitability_earnings,profitability_earnings,mixed,profitability_earnings,profitability_earnings,0
