pair_id,bank,quarter,analyst,topic,pair_mode
barclays_2024-annual_001,barclays,2024-annual,Perlie Mong,-1,consecutive
barclays_2024-annual_002,barclays,2024-annual,Ben Toms,-1,consecutive
barclays_2024-annual_003,barclays,2024-annual,Andrew Coombs,1,consecutive
barclays_2024-annual_004,barclays,2024-annual,KianAbouhossein,-1,consecutive
barclays_2024-q1_001,barclays,2024-q1,Joseph Dickerson,2,consecutive
barclays_2024-q2_001,barclays,2024-q2,Alvaro Serrano,1,consecutive
barclays_2024-q2_003,barclays,2024-q2,Guy Stebbings,0,consecutive
barclays_2024-q2_005,barclays,2024-q2,Ed Firth,5,consecutive
barclays_2024-q2_006,barclays,2024-q2,Chris Cant,-1,consecutive
barclays_2024-q3_001,barclays,2024-q3,Jason Napier,0,consecutive
barclays_2024-q3_004,barclays,2024-q3,Guy Stebbings,5,consecutive
barclays_2024-q3_007,barclays,2024-q3,Jonathan Pierce,0,bleed_split
barclays_2024-q3_009,barclays,2024-q3,Perlie Mong,0,bleed_split
barclays_2025-annual_003,barclays,2025-annual,Ben Toms,2,consecutive
barclays_2025-q1_001,barclays,2025-q1,Guy Stebbings,-1,consecutive
barclays_2025-q1_004,barclays,2025-q1,Chris Hallam,-1,consecutive
barclays_2025-q1_006,barclays,2025-q1,Andy Coombs,-1,consecutive
barclays_2025-q1_009,barclays,2025-q1,Jonathan Pierce,-1,bleed_split
barclays_2025-q2_001,barclays,2025-q2,Alvaro Serrano,-1,consecutive
barclays_2025-q3_001,barclays,2025-q3,Guy Stebbings,-1,consecutive
barclays_2025-q3_002,barclays,2025-q3,Jason Napier,-1,consecutive
barclays_2025-q3_006,barclays,2025-q3,Chris Hallam,-1,consecutive
barclays_2026-q1_001,barclays,2026-q1,Alvaro Serrano,-1,consecutive
barclays_2026-q1_003,barclays,2026-q1,Amit Goel,1,consecutive
barclays_2026-q1_005,barclays,2026-q1,Guy Stebbings,0,bleed_split
barclays_2026-q1_008,barclays,2026-q1,Edward Firth,5,consecutive
barclays_2026-q2_002,barclays,2026-q2,Jonathan Pierce,-1,bleed_split
barclays_2026-q2_003,barclays,2026-q2,Benjamin Toms,-1,consecutive
barclays_2026-q2_004,barclays,2026-q2,Benjamin Toms,-1,consecutive
barclays_2026-q2_005,barclays,2026-q2,Edward Firth,-1,consecutive
hsbc_2024-annual_002,hsbc,2024-annual,KIAN ABOUHOSSEIN,1,consecutive
hsbc_2024-annual_006,hsbc,2024-annual,ANDY COOMBS,1,consecutive
hsbc_2024-annual_008,hsbc,2024-annual,KATHERINE LEI,4,consecutive
hsbc_2024-annual_009,hsbc,2024-annual,JOE DICKERSON,4,consecutive
hsbc_2024-annual_011,hsbc,2024-annual,ROB NOBLE,1,consecutive
hsbc_2024-interim_006,hsbc,2024-interim,AMAN RAKKAR,-1,consecutive
hsbc_2024-interim_007,hsbc,2024-interim,ED FIRTH,-1,consecutive
hsbc_2024-q1_003,hsbc,2024-q1,JEREMY HOU,0,consecutive
hsbc_2024-q3_008,hsbc,2024-q3,ED FIRTH,-1,consecutive
hsbc_2025-annual_007,hsbc,2025-annual,KIAN ABOUHOSSEIN,-1,consecutive
hsbc_2025-interim_003,hsbc,2025-interim,KUNPENG MA,4,consecutive
hsbc_2025-interim_008,hsbc,2025-interim,KATHERINE LEI,4,consecutive
hsbc_2025-q1_002,hsbc,2025-q1,JOSEPH DICKERSON,4,consecutive
hsbc_2025-q1_003,hsbc,2025-q1,KUNPENG MA,4,consecutive
hsbc_2025-q1_006,hsbc,2025-q1,AMIT GOEL,4,consecutive
hsbc_2025-q1_009,hsbc,2025-q1,ED FIRTH,1,consecutive
hsbc_2025-q1_010,hsbc,2025-q1,KATHERINE LEI,4,consecutive
hsbc_2025-q1_011,hsbc,2025-q1,YAN JIAHUI,4,consecutive
hsbc_2025-q3_002,hsbc,2025-q3,GUY STEBBINGS,-1,consecutive
hsbc_2025-q3_003,hsbc,2025-q3,KATHERINE LEI,-1,consecutive
hsbc_2025-q3_008,hsbc,2025-q3,AMIT GOEL,-1,consecutive
hsbc_2025-q3_010,hsbc,2025-q3,ALASTAIR WARR,-1,consecutive
hsbc_2026-interim_001,hsbc,2026-interim,KIAN ABOUHOSSEIN,1,consecutive
hsbc_2026-interim_003,hsbc,2026-interim,ALISTAIR WARR,3,consecutive
hsbc_2026-interim_006,hsbc,2026-interim,CHRIS HALLAM,-1,consecutive
hsbc_2026-interim_008,hsbc,2026-interim,EMMA XU,-1,consecutive
hsbc_2026-q1_001,hsbc,2026-q1,GUY STEBBINGS,-1,consecutive
hsbc_2026-q1_002,hsbc,2026-q1,AMIT GOEL,1,consecutive
hsbc_2026-q1_005,hsbc,2026-q1,KATHERINE LEI,4,consecutive
hsbc_2026-q1_008,hsbc,2026-q1,ALASTAIR WARR,-1,consecutive
