pair_id,coder1_category,coder2_category,disagreement,prudential8_q,prudential8_a,seed_topic_q
barclays_2024-annual_001,untagged,profitability_earnings,1,untagged,profitability_earnings,untagged
barclays_2024-annual_002,liquidity_funding,profitability_earnings,1,liquidity_funding,profitability_earnings,capital
barclays_2024-annual_003,profitability_earnings,profitability_earnings,0,profitability_earnings,profitability_earnings,efficiency
barclays_2024-annual_004,profitability_earnings,market_traded_risk,1,profitability_earnings,market_traded_risk,untagged
barclays_2024-q1_001,profitability_earnings,market_traded_risk,1,profitability_earnings,market_traded_risk,profitability
barclays_2024-q2_001,operational_efficiency,profitability_earnings,1,operational_efficiency,profitability_earnings,efficiency
barclays_2024-q2_003,untagged,,1,untagged,untagged,untagged
barclays_2024-q2_005,asset_quality_credit,profitability_earnings,1,asset_quality_credit,profitability_earnings,untagged
barclays_2024-q2_006,untagged,profitability_earnings,1,untagged,profitability_earnings,untagged
barclays_2024-q3_001,profitability_earnings,market_traded_risk,1,profitability_earnings,market_traded_risk,mixed
barclays_2024-q3_004,market_traded_risk,profitability_earnings,1,market_traded_risk,profitability_earnings,capital
barclays_2024-q3_007,profitability_earnings,market_traded_risk,1,profitability_earnings,market_traded_risk,untagged
barclays_2024-q3_009,market_traded_risk,profitability_earnings,1,market_traded_risk,profitability_earnings,untagged
barclays_2025-annual_003,business_model_strategy,market_traded_risk,1,business_model_strategy,market_traded_risk,untagged
barclays_2025-q1_001,capital_adequacy,asset_quality_credit,1,capital_adequacy,asset_quality_credit,mixed
barclays_2025-q1_004,operational_efficiency,operational_efficiency,0,operational_efficiency,untagged,efficiency
barclays_2025-q1_006,profitability_earnings,,1,profitability_earnings,untagged,mixed
barclays_2025-q1_009,untagged,,1,untagged,untagged,untagged
barclays_2025-q2_001,capital_adequacy,market_traded_risk,1,capital_adequacy,market_traded_risk,capital
barclays_2025-q3_001,profitability_earnings,,1,profitability_earnings,untagged,untagged
barclays_2025-q3_002,conduct_operational,conduct_operational,0,conduct_operational,conduct_operational,mixed
barclays_2025-q3_006,untagged,,1,untagged,untagged,untagged
barclays_2026-q1_001,market_traded_risk,profitability_earnings,1,market_traded_risk,profitability_earnings,untagged
barclays_2026-q1_003,operational_efficiency,operational_efficiency,0,operational_efficiency,untagged,efficiency
barclays_2026-q1_005,liquidity_funding,liquidity_funding,0,liquidity_funding,liquidity_funding,mixed
barclays_2026-q1_008,market_traded_risk,liquidity_funding,1,market_traded_risk,liquidity_funding,untagged
barclays_2026-q2_002,untagged,,1,untagged,untagged,untagged
barclays_2026-q2_003,profitability_earnings,business_model_strategy,1,profitability_earnings,business_model_strategy,untagged
barclays_2026-q2_004,untagged,profitability_earnings,1,untagged,profitability_earnings,untagged
barclays_2026-q2_005,operational_efficiency,operational_efficiency,0,operational_efficiency,untagged,efficiency
hsbc_2024-annual_002,business_model_strategy,profitability_earnings,1,business_model_strategy,profitability_earnings,mixed
hsbc_2024-annual_006,capital_adequacy,operational_efficiency,1,capital_adequacy,operational_efficiency,mixed
hsbc_2024-annual_008,profitability_earnings,profitability_earnings,0,profitability_earnings,profitability_earnings,mixed
hsbc_2024-annual_009,asset_quality_credit,asset_quality_credit,0,asset_quality_credit,asset_quality_credit,asset_quality
hsbc_2024-annual_011,operational_efficiency,profitability_earnings,1,operational_efficiency,profitability_earnings,efficiency
hsbc_2024-interim_006,untagged,business_model_strategy,1,untagged,business_model_strategy,untagged
