pair_id,q_label,a_label,confidence,note
barclays_2011-q3_002,negative,negative,medium,
barclays_2012-q3_004,negative,positive,high,
barclays_2013-q1_001,negative,negative,medium,
barclays_2014-q2_001,negative,negative,high,
barclays_2014-q2_010,neutral,neutral,high,
barclays_2019-q2_010,negative,positive,high,
barclays_2020-q1_003,neutral,neutral,high,
barclays_2020-q1_005,neutral,neutral,high,
barclays_2020-q1_009,negative,neutral,high,
barclays_2020-q3_010,neutral,neutral,medium,
barclays_2020-annual_003,neutral,neutral,low,
barclays_2020-annual_008,neutral,positive,medium,
barclays_2021-q1_002,neutral,negative,low,Not sure what run-rates are here
barclays_2022-q3_001,neutral,neutral,high,
barclays_2023-q3_008,negative,negative,high,
barclays_2024-q1_001,neutral,neutral,high,
barclays_2024-q2_001,neutral,neutral,high,
barclays_2024-q2_003,neutral,,high,
barclays_2024-q2_005,negative,positive,high,
barclays_2024-q2_006,negative,positive,high,
barclays_2024-q3_001,negative,positive,medium,
barclays_2024-q3_004,neutral,neutral,high,
barclays_2024-q3_007,neutral,neutral,medium,
barclays_2024-q3_009,negative,neutral,high,
barclays_2024-annual_001,neutral,neutral,high,
barclays_2024-annual_002,neutral,neutral,high,
barclays_2024-annual_003,negative,negative,high,
barclays_2024-annual_004,neutral,neutral,high,
barclays_2025-q1_001,positive,positive,high,
barclays_2025-q1_004,neutral,,high,
barclays_2025-q1_006,positive,positive,high,
barclays_2025-q1_009,neutral,,high,
barclays_2025-q2_001,positive,positive,high,
barclays_2025-q3_001,positive,neutral,medium,
barclays_2025-q3_002,neutral,neutral,high,
barclays_2025-q3_006,neutral,,high,
barclays_2025-annual_003,neutral,positive,high,
barclays_2026-q1_001,neutral,neutral,medium,
barclays_2026-q1_003,neutral,,high,Incomplete
barclays_2026-q1_005,neutral,neutral,high,
barclays_2026-q1_008,neutral,neutral,medium,
barclays_2026-q2_002,neutral,,high,Courtesy
barclays_2026-q2_003,negative,positive,medium,
barclays_2026-q2_004,neutral,neutral,low,
barclays_2026-q2_005,neutral,,medium,Incomplete
barclays_2026-q2_007,positive,positive,high,
hsbc_2013-q1_004,neutral,negative,medium,
hsbc_2013-interim_001,neutral,neutral,medium,
hsbc_2020-interim_007,negative,negative,high,
hsbc_2020-annual_004,negative,neutral,medium,
hsbc_2021-q1_001,negative,negative,high,
hsbc_2021-interim_005,neutral,neutral,high,
hsbc_2021-q3_007,neutral,neutral,medium,
hsbc_2022-interim_001,negative,negative,medium,
hsbc_2022-q3_001,negative,negative,medium,
hsbc_2023-q3_002,negative,neutral,high,
hsbc_2023-annual_008,negative,neutral,low,
hsbc_2024-q1_003,negative,neutral,medium,
hsbc_2024-interim_006,neutral,neutral,high,
hsbc_2024-interim_007,neutral,neutral,low,
hsbc_2024-q3_008,neutral,positive,medium,
hsbc_2024-annual_002,neutral,neutral,high,
hsbc_2024-annual_006,negative,neutral,high,
hsbc_2024-annual_008,negative,neutral,high,
hsbc_2024-annual_009,negative,negative,high,
hsbc_2024-annual_011,neutral,neutral,high,
hsbc_2025-q1_002,neutral,neutral,medium,
hsbc_2025-q1_003,neutral,neutral,medium,
hsbc_2025-q1_006,neutral,neutral,medium,
hsbc_2025-q1_009,negative,neutral,high,
hsbc_2025-q1_010,neutral,positive,high,
hsbc_2025-q1_011,negative,negative,high,
hsbc_2025-interim_001,neutral,neutral,high,
hsbc_2025-interim_003,negative,positive,high,
hsbc_2025-interim_008,neutral,neutral,medium,
hsbc_2025-q3_002,neutral,positive,high,
hsbc_2025-q3_003,neutral,positive,high,
hsbc_2025-q3_005,negative,positive,high,
hsbc_2025-q3_008,negative,positive,medium,
hsbc_2025-q3_010,negative,negative,medium,
hsbc_2025-annual_005,neutral,neutral,high,
hsbc_2025-annual_007,neutral,neutral,high,
hsbc_2026-q1_001,positive,positive,high,
hsbc_2026-q1_002,negative,neutral,medium,
hsbc_2026-q1_005,negative,negative,high,
hsbc_2026-q1_008,negative,negative,high,
hsbc_2026-interim_001,neutral,neutral,medium,
hsbc_2026-interim_003,negative,neutral,high,
hsbc_2026-interim_006,neutral,neutral,high,
hsbc_2026-interim_008,negative,neutral,medium,
