pair_id,bank,quarter,sample_role,stratum_label,period_bucket,is_episode,question_sentiment,question_net,question_net_prob,question_sent_label,question_sent_net,question_ldsa_sentiment,question_ldsa_net,question_lm_hedge,answer_sentiment,answer_net,answer_net_prob,answer_sent_label,answer_sent_net,answer_ldsa_sentiment,answer_ldsa_net,answer_lm_hedge
barclays_2011-q3_002,barclays,2011-q3,stratified_topup,negative,pre-2020,False,neutral,0.0,0.06960510276257992,neutral,0.06960517726838589,positive,0.04081632653061224,0.02040816326530612,negative,-0.464359849691391,-0.368734210729599,neutral,-0.025473319604222118,neutral,0.00998003992015968,0.015968063872255488
barclays_2012-q3_004,barclays,2012-q3,stratified_topup,negative,pre-2020,False,neutral,0.0,0.06556878238916397,neutral,0.00043949617871216366,negative,-0.03404255319148936,0.02127659574468085,negative,-0.42840826511383057,-0.16013064980506897,neutral,0.0008457312360405922,negative,-0.016666666666666666,0.03333333333333333
barclays_2013-q1_001,barclays,2013-q1,stratified_topup,negative,pre-2020,False,positive,0.7593633532524109,0.6817644983530045,positive,0.38312094037731487,negative,-0.034782608695652174,0.05217391304347826,negative,-0.6473491191864014,-0.4711500555276871,positive,0.15352465203031898,neutral,0.0017123287671232876,0.011986301369863013
barclays_2014-q2_001,barclays,2014-q2,stratified_topup,negative,pre-2020,False,neutral,0.0,0.024668123573064804,neutral,0.020543932332657278,neutral,0.0,0.023809523809523808,negative,-0.7019415497779846,-0.5572490841150284,neutral,0.12239366382556527,neutral,-0.008421052631578947,0.010526315789473684
barclays_2014-q2_010,barclays,2014-q2,stratified_topup,negative,pre-2020,False,neutral,0.0,0.04681906849145889,neutral,0.08998110182583333,negative,-0.022535211267605635,0.028169014084507043,negative,-0.5668923854827881,-0.5337225683033466,negative,-0.17189491755114153,negative,-0.01486988847583643,0.01858736059479554
barclays_2019-q2_010,barclays,2019-q2,stratified_topup,negative,pre-2020,False,negative,-0.8463599681854248,-0.8188534490764141,negative,-0.37050686444022823,negative,-0.02531645569620253,0.02531645569620253,negative,-0.4408581256866455,-0.10629409551620483,positive,0.35873522626405413,positive,0.01486988847583643,0.02973977695167286
barclays_2020-q1_003,barclays,2020-q1,stratified_topup,positive,2020-23,False,neutral,0.0,0.3106736745685339,positive,0.3351867813616991,negative,-0.015151515151515152,0.030303030303030304,neutral,0.0,0.16434746235609055,positive,0.27972350642085075,neutral,0.0,0.045454545454545456
barclays_2020-q1_005,barclays,2020-q1,stratified_topup,negative,2020-23,False,neutral,0.0,0.05905209295451641,neutral,0.05905209295451641,neutral,0.0,0.08333333333333333,negative,-0.9448097944259644,-0.9290204159915447,negative,-0.40503054042346776,positive,0.016129032258064516,0.03225806451612903
barclays_2020-q1_009,barclays,2020-q1,stratified_topup,negative,2020-23,False,negative,-0.7816106081008911,-0.7510585375130177,negative,-0.20710897674276071,neutral,-0.004975124378109453,0.009950248756218905,neutral,0.0,-0.09223422408103943,negative,-0.28163433219823575,neutral,-0.004219409282700422,0.03375527426160337
barclays_2020-q3_010,barclays,2020-q3,stratified_topup,negative,2020-23,False,neutral,0.0,0.14481477066874504,positive,0.3263911143876612,neutral,0.0,0.0,negative,-0.7186278104782104,-0.6905230227857828,negative,-0.16140566027856298,negative,-0.010752688172043012,0.0035842293906810036
barclays_2020-annual_003,barclays,2020-annual,stratified_topup,negative,2020-23,False,neutral,0.0,0.1222043801099062,neutral,0.1222043801099062,positive,0.037037037037037035,0.037037037037037035,negative,-0.5260522365570068,-0.3541393280029297,neutral,-0.018098285175202525,negative,-0.01589825119236884,0.02702702702702703
barclays_2020-annual_008,barclays,2020-annual,stratified_topup,positive,2020-23,False,negative,-0.6947112679481506,-0.6271875202655792,positive,0.16994826371471086,positive,0.014285714285714285,0.025,neutral,0.0,0.3643636563792825,positive,0.38198377180378884,neutral,0.006622516556291391,0.0
barclays_2021-q1_002,barclays,2021-q1,stratified_topup,negative,2020-23,False,neutral,0.0,0.013827230781316757,neutral,0.03443102321277062,negative,-0.013888888888888888,0.027777777777777776,negative,-0.8211215138435364,-0.7757222503423691,neutral,-0.009564397363540004,negative,-0.0313588850174216,0.024390243902439025
barclays_2022-q3_001,barclays,2022-q3,stratified_topup,negative,2020-23,False,negative,-0.667204737663269,-0.5359139144420624,neutral,-0.09966018833220006,negative,-0.016129032258064516,0.010752688172043012,negative,-0.43404045701026917,-0.26018786430358887,neutral,0.025140549167990685,neutral,0.004056795131845842,0.010141987829614604
barclays_2023-q3_008,barclays,2023-q3,stratified_topup,negative,2020-23,False,neutral,0.0,-0.15668345987796783,neutral,0.0220110512442059,neutral,0.00510204081632653,0.008928571428571428,negative,-0.9204927682876587,-0.8836214318871498,negative,-0.49652323064704734,negative,-0.015151515151515152,0.06060606060606061
barclays_2024-q1_001,barclays,2024-q1,reused_m2a,positive,2024+,False,positive,0.9013831615447998,0.8689172640442848,positive,0.31665338575839996,negative,-0.020833333333333332,0.0,neutral,0.0,0.03164134919643402,positive,0.21143159839058562,neutral,-0.0035650623885918,0.0053475935828877
barclays_2024-q2_001,barclays,2024-q2,reused_m2a,neutral,2024+,False,negative,-0.8625084757804871,-0.834685767069459,negative,-0.834685767069459,neutral,0.0,0.05263157894736842,neutral,0.0,0.21337071061134338,neutral,0.09366491995751858,positive,0.011976047904191617,0.0029940119760479044
barclays_2024-q2_003,barclays,2024-q2,reused_m2a,neutral,2024+,False,neutral,0.0,-0.01454518735408783,neutral,-0.01454518735408783,negative,-0.1111111111111111,0.0,,0.0,0.0,,0.0,neutral,0.0,0.0
barclays_2024-q2_005,barclays,2024-q2,reused_m2a,positive,2024+,False,positive,0.8191121816635132,0.7803282774984837,positive,0.34415298607200384,positive,0.03076923076923077,0.0,neutral,0.0,0.06556932628154755,positive,0.2407362410366269,neutral,-0.004464285714285714,0.013392857142857142
barclays_2024-q2_006,barclays,2024-q2,reused_m2a,neutral,2024+,False,neutral,0.0,0.01941562257707119,neutral,0.01941562257707119,neutral,0.0,0.0,neutral,0.0,-0.05714800953865051,neutral,0.12018695710083613,negative,-0.01020408163265306,0.004081632653061225
barclays_2024-q3_001,barclays,2024-q3,reused_m2a,neutral,2024+,False,negative,-0.7904414534568787,-0.7565405070781708,neutral,-0.14770916907582432,negative,-0.0196078431372549,0.0196078431372549,neutral,0.0,0.05860215425491333,neutral,0.011820942489430308,neutral,-0.009900990099009901,0.0
barclays_2024-q3_004,barclays,2024-q3,reused_m2a,neutral,2024+,False,neutral,0.0,0.14931685477495193,neutral,0.12328041009604931,neutral,0.0,0.015037593984962405,neutral,0.0,0.0059578996151685715,neutral,0.0168365309946239,positive,0.013888888888888888,0.0
barclays_2024-q3_007,barclays,2024-q3,reused_m2a,neutral,2024+,False,neutral,0.0,-0.1825757622718811,neutral,-0.0834061809313985,negative,-0.011494252873563218,0.007662835249042145,neutral,0.0,0.045879021286964417,neutral,-0.00876555684953928,neutral,0.0,0.011235955056179775
barclays_2024-q3_009,barclays,2024-q3,reused_m2a,neutral,2024+,False,neutral,0.0,0.02471201866865158,neutral,0.06758569149921338,neutral,-0.0047169811320754715,0.02830188679245283,neutral,0.0,0.052064480260014534,neutral,0.09090507180931476,neutral,0.008130081300813009,0.008130081300813009
barclays_2024-annual_001,barclays,2024-annual,reused_m2a,positive,2024+,False,positive,0.5325780510902405,0.5153614841401577,,0.0,negative,-0.09090909090909091,0.0,positive,0.6156945824623108,0.6029106453061104,positive,0.26749583950731903,positive,0.04157043879907621,0.004618937644341801
barclays_2024-annual_002,barclays,2024-annual,reused_m2a,neutral,2024+,False,neutral,0.0,0.02091345563530922,neutral,-0.13434611377306283,neutral,0.0,0.02564102564102564,neutral,0.0,0.01167769730091095,neutral,0.010958307112256685,negative,-0.014492753623188406,0.057971014492753624
